name,sci_name,state,county,points,link,img,lat,long
Satinwood West indian,Zanthoxylum flavum,FL,Monroe,87,https://www.americanforests.org?page_id=85009,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=3466,25.0405135,-80.8337157
Hawthorn Suksdorf,Crataegus suksdorfii,WA,King,87,https://www.americanforests.org?page_id=64561,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4333,47.4873376,-121.8622122
Jamaican nettletree Florida,Trema micrantha,FL,Broward,85,https://www.americanforests.org?page_id=84955,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.1598074,-80.4623642
Ash Lowell,Fraxinus anomala var. lowellii,AZ,Yavapai,85,https://www.americanforests.org?page_id=55893,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7672,34.5668857,-112.5515965
Milkbark ,Drypetes diversifolia,FL,Monroe,85,https://www.americanforests.org?page_id=55664,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.0405135,-80.8337157
Esenbeckia Berlandier,Esenbeckia berlandieri,TX,Brownsville,83,https://www.americanforests.org?page_id=55989,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=2911,,
Swamp-privet Eastern,Forestiera acuminata,TX,Red River,82,https://www.americanforests.org?page_id=55446,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,33.571979,-95.0429674
Lyonia Tree,Lyonia ferruginea,FL,Wakulla,81,https://www.americanforests.org?page_id=85003,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,30.1480038,-84.3543512
Chinkapin Allegheny,Castanea pumila var. pumila,TX,Trinity,81,https://www.americanforests.org?page_id=56407,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=2503,31.0834452,-95.1219348
Hawthorn Tracy,Crataegus tracyi,TX,Jeff Davis,80,https://www.americanforests.org?page_id=55566,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=1028,30.7018281,-104.1501698
Syzygium Malaysian apple,Syzygium malaccense,HI,KauaÊ»i,79,https://www.americanforests.org?page_id=60012,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7993,22.0557204,-159.4945109
Dogwood Roughleaf,Cornus drummondii,MS,Tunica,78,https://www.americanforests.org?page_id=60058,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,34.6399136,-90.3623833
Byrsonima Key,Byrsonima lucida,FL,Monroe,78,https://www.americanforests.org?page_id=55328,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.0405135,-80.8337157
Hopbush ,Dodonaea viscosa,HI,HawaiÊ»i,77,https://www.americanforests.org?page_id=82093,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7652,19.6273325,-155.5645619
Orange Sour,Citrus aurantium,AZ,Pima,77,https://www.americanforests.org?page_id=55885,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4302,32.1112624,-111.6546163
Hercules-club ,Zanthoxylum clava-herculis,VA,Northampton,77,https://www.americanforests.org?page_id=81995,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,40.7451356,-75.3289302
Silktassel Wavyleaf,Garrya elliptica,OR,Curry,76,https://www.americanforests.org?page_id=55432,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,42.4265426,-124.216879
Plum Hortulan,Prunus hortulana,MO,Boone,76,https://www.americanforests.org?page_id=60020,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=3027,39.0153926,-92.3307534
Strongback Bahama,Bourreria succulenta,FL,Miami-Dade,76,https://www.americanforests.org?page_id=84932,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.6364246,-80.4989467
Willow Northwest,Salix sessilifolia,OR,Marion,76,https://www.americanforests.org?page_id=56364,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,44.8964425,-122.7203248
Persimmon Lama,Diospyros sandwicensis,HI,HawaiÊ»i,76,https://www.americanforests.org?page_id=82100,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,19.6273325,-155.5645619
Geiger-tree ,Cordia sebestena,FL,Palm Beach,75,https://www.americanforests.org?page_id=55811,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.6279798,-80.4494174
Witch-hazel ,Hamamelis virginiana,VA,Russell,75,https://www.americanforests.org?page_id=59993,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,38.8970508,-98.7980433
Nectandra Florida,Nectandra coriacea,FL,Miami-Dade,75,https://www.americanforests.org?page_id=55493,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.6364246,-80.4989467
Stopper Twinberry,Myrcianthes fragrans,FL,Broward,74,https://www.americanforests.org?page_id=60073,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.1598074,-80.4623642
Leucaena Littleleaf,Leucaena retusa,TX,Midland,74,https://www.americanforests.org?page_id=55537,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=1224,31.83688,-102.0103767
Canella ,Canella winterana,FL,Monroe,74,https://www.americanforests.org?page_id=55952,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=462,25.0405135,-80.8337157
Bayberry Southern,Morella cerifera,VA,Virginia Beach,74,https://www.americanforests.org?page_id=84980,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,36.8529841,-75.9774183
Rhododendron Rosebay,Rhododendron maximum,NC,Transylvania,73,https://www.americanforests.org?page_id=55528,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,35.1982216,-82.7724889
Sumac Prairie,Rhus lanceolata,TX,Gillespie,73,https://www.americanforests.org?page_id=56387,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5619,30.2954086,-98.9086643
Hawthorn Fleshy,Crataegus succulenta,NY,Monroe,71,https://www.americanforests.org?page_id=56355,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,43.150094,-77.6810141
Joewood ,Jacquinia keyensis,FL,Lee,70,https://www.americanforests.org?page_id=55672,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.5999265,-81.8823135
Sumac Smooth,Rhus glabra,WA,King,69,https://www.americanforests.org?page_id=64656,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,47.4873376,-121.8622122
Sumac Staghorn,Rhus typhina,MT,Ravalli,69,https://www.americanforests.org?page_id=56383,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,46.0757223,-114.1139453
Plum Chickasaw,Prunus angustifolia,FL,Alachua,69,https://www.americanforests.org?page_id=64528,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,29.675568,-82.3640109
Hawthorn Pringle,Crataegus coccinea var. pringlei,OH,Portage,68,https://www.americanforests.org?page_id=82092,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7760,41.1496775,-81.2082
Hercules-club Texas,Zanthoxylum hirsutum,TX,Tarrant,68,https://www.americanforests.org?page_id=60065,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=2558,32.7513658,-97.335696
Plum Wildgoose,Prunus munsoniana,TX,Dallas,68,https://www.americanforests.org?page_id=55898,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7901,32.7620405,-96.7790069
Lignumvitae Texas,Guaiacum angustifolium,TX,Hidalgo,68,https://www.americanforests.org?page_id=56094,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.3530256,-98.216445
